firstName,lastName,email,role,department,major
Jennifer,Kaiser,jennifer.kaiser@BYUI.edu,Teacher,Foreign Languages,
Katie,Savage,katie.savage@BYUI.edu,Teacher,Music,
Jackson,Allen,jackson.allen@BYUI.edu,Teacher,History,
John,Schaefer,john.schaefer@BYUI.edu,Teacher,Computer Science,
Zachary,Hernandez,zachary.hernandez@BYUI.edu,Teacher,Social Studies,
Diana,Garcia,diana.garcia@BYUI.edu,Teacher,History,
Sarah,Wilson,sarah.wilson@BYUI.edu,Teacher,History,
Melissa,Dixon,melissa.dixon@BYUI.edu,Teacher,Social Studies,
Caitlin,Reid,caitlin.reid@BYUI.edu,Teacher,Foreign Languages,
Amber,Morris,amber.morris@BYUI.edu,Teacher,Music,
Bryan,Johnson,bryan.johnson@BYUI.edu,Teacher,Mathematics,
Brenda,Booth,brenda.booth@BYUI.edu,Teacher,Science,
Barbara,Long,barbara.long@BYUI.edu,Teacher,Physical Education,
Alyssa,Gregory,alyssa.gregory@BYUI.edu,Teacher,Physical Education,
Anthony,Rivera,anthony.rivera@BYUI.edu,Teacher,Physical Education,
Jason,Roberts,jason.roberts246@student.edu,Student,,Economics
Mark,Wise,mark.wise613@student.edu,Student,,Mathematics
Jeffery,Leblanc,jeffery.leblanc309@student.edu,Student,,Psychology
Heather,Scott,heather.scott24@student.edu,Student,,Political Science
Michelle,Rice,michelle.rice600@student.edu,Student,,Physics
Ronnie,Yu,ronnie.yu67@student.edu,Student,,Physics
Cindy,White,cindy.white185@student.edu,Student,,Physics
Joseph,Rush,joseph.rush467@student.edu,Student,,Undeclared
Robert,Ward,robert.ward406@student.edu,Student,,Economics
Lori,Franklin,lori.franklin568@student.edu,Student,,Economics
Jennifer,Jackson,jennifer.jackson56@student.edu,Student,,Chemistry
Elaine,Brown,elaine.brown295@student.edu,Student,,Biology
Jason,Garcia,jason.garcia514@student.edu,Student,,Communications
James,Gray,james.gray154@student.edu,Student,,Business
Evelyn,Kirby,evelyn.kirby745@student.edu,Student,,Physics
Eric,Tucker,eric.tucker421@student.edu,Student,,Communications
Kevin,Davis,kevin.davis123@student.edu,Student,,Mathematics
Nicole,Snyder,nicole.snyder155@student.edu,Student,,Economics
Evelyn,Roach,evelyn.roach655@student.edu,Student,,Biology
Timothy,Banks,timothy.banks52@student.edu,Student,,Psychology
Devin,Thompson,devin.thompson693@student.edu,Student,,Economics
Derrick,Mendez,derrick.mendez674@student.edu,Student,,History
Deborah,Wagner,deborah.wagner628@student.edu,Student,,Economics
Steven,Mills,steven.mills572@student.edu,Student,,Psychology
Justin,Davis,justin.davis56@student.edu,Student,,Computer Science
Steven,Reyes,steven.reyes77@student.edu,Student,,Political Science
Gloria,Garrett,gloria.garrett552@student.edu,Student,,Literature
Gregory,Hall,gregory.hall178@student.edu,Student,,Psychology
Erica,Bell,erica.bell48@student.edu,Student,,Computer Science
Michelle,Watson,michelle.watson110@student.edu,Student,,Chemistry
Zachary,Best,zachary.best250@student.edu,Student,,Economics
Jeffrey,Howard,jeffrey.howard423@student.edu,Student,,Biology
Anthony,Walsh,anthony.walsh250@student.edu,Student,,Business
Becky,Rivera,becky.rivera289@student.edu,Student,,Economics
Bruce,Hahn,bruce.hahn920@student.edu,Student,,Chemistry
Elizabeth,Williams,elizabeth.williams788@student.edu,Student,,Physics
Christina,Hamilton,christina.hamilton19@student.edu,Student,,Undeclared
Juan,Avery,juan.avery519@student.edu,Student,,Chemistry
Leslie,Valentine,leslie.valentine886@student.edu,Student,,Computer Science
Jeremy,Mosley,jeremy.mosley601@student.edu,Student,,Psychology
David,Romero,david.romero936@student.edu,Student,,Literature
Melissa,Welch,melissa.welch383@student.edu,Student,,Undeclared
Tyler,Harris,tyler.harris382@student.edu,Student,,Computer Science
Dawn,Gonzalez,dawn.gonzalez75@student.edu,Student,,History
Brian,Wood,brian.wood268@student.edu,Student,,Biology
William,Mccormick,william.mccormick579@student.edu,Student,,Physics
Rhonda,Mcgrath,rhonda.mcgrath620@student.edu,Student,,Psychology
Carla,Robertson,carla.robertson280@student.edu,Student,,Business
Christopher,Nelson,christopher.nelson894@student.edu,Student,,Political Science
Patrick,Smith,patrick.smith857@student.edu,Student,,Communications
Caitlin,Duke,caitlin.duke55@student.edu,Student,,Mathematics
Wesley,Hayes,wesley.hayes336@student.edu,Student,,Political Science
Kelly,Adams,kelly.adams210@student.edu,Student,,Biology
Colleen,Jimenez,colleen.jimenez132@student.edu,Student,,Political Science
Darin,Ortega,darin.ortega655@student.edu,Student,,Political Science
Tyler,Lopez,tyler.lopez890@student.edu,Student,,Chemistry
Jorge,Waller,jorge.waller823@student.edu,Student,,Biology
Peter,Robinson,peter.robinson552@student.edu,Student,,Communications
Lori,Brooks,lori.brooks608@student.edu,Student,,Political Science
David,Hughes,david.hughes992@student.edu,Student,,Engineering
Brianna,Dillon,brianna.dillon926@student.edu,Student,,Engineering
Melissa,Ortiz,melissa.ortiz231@student.edu,Student,,History
Robert,Turner,robert.turner28@student.edu,Student,,Literature
Ryan,Murillo,ryan.murillo717@student.edu,Student,,Psychology
Jennifer,Campos,jennifer.campos189@student.edu,Student,,Psychology
Cody,Colon,cody.colon572@student.edu,Student,,Economics
Kelly,Chapman,kelly.chapman525@student.edu,Student,,Political Science
Andrew,Hernandez,andrew.hernandez341@student.edu,Student,,Biology
Nicole,Watson,nicole.watson590@student.edu,Student,,Communications
Michael,Maldonado,michael.maldonado126@student.edu,Student,,Business
Benjamin,Alvarez,benjamin.alvarez84@student.edu,Student,,Communications
Matthew,Johnson,matthew.johnson255@student.edu,Student,,History
Derek,Olsen,derek.olsen428@student.edu,Student,,Political Science
Spencer,Wood,spencer.wood50@student.edu,Student,,History
Caleb,Gates,caleb.gates570@student.edu,Student,,Physics
Caroline,Jordan,caroline.jordan702@student.edu,Student,,Economics
Ralph,Richardson,ralph.richardson793@student.edu,Student,,Communications
Lisa,Glover,lisa.glover210@student.edu,Student,,Chemistry
Lawrence,Johnson,lawrence.johnson566@student.edu,Student,,Biology
Whitney,Smith,whitney.smith922@student.edu,Student,,Biology
Hector,Scott,hector.scott891@student.edu,Student,,Economics
